Site,SampleID,Depth,Age,Events,Na,Mg,Al,P,K,Sc,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Pb,Th,U,CaCO3,d13C,d18O,SREY,Ca
762C,12X-1 9,265.1,40.674211,Bartonian,0.699628382,0.288509068,0.750654512,0.035311072,0.324925678,1.64030566,0.046288917,18.92147896,0.017323602,0.640816945,1.938240695,10.15675341,10.62574205,17.34173749,9.120009619,1186.1435,9.747342587,13.18167616,1.393901965,0.124031298,0.509763792,480.5863036,7.527380614,8.093690198,1.356056528,5.574232581,0.994325825,0.240977685,1.186881645,0.174031349,1.10507905,0.251938268,0.727646905,0.101520399,0.656514581,0.090815047,0.37376587,3.517389498,1.553451267,0.155805146,86.27549372,1.701481746,0.315604994,37.82843326,33.29417502
762C,12X-1 36,265.37,40.68596515,Bartonian,0.60508033,0.282699561,0.706810724,0.036299173,0.310153866,1.66901921,0.039700664,16.59719111,0.018973234,0.507769755,1.558858996,8.586905968,9.528866036,19.2186772,8.664208083,955.1016365,8.701815895,11.1744099,1.346461943,0.118789506,0.489745505,499.375363,6.718515604,7.6984571,1.213538227,5.199440965,0.909359712,0.217121175,1.056946759,0.150136895,0.983457918,0.218809127,0.658766249,0.097607072,0.616005071,0.085607636,0.332951594,3.432395254,1.379782388,0.13990618,86.9203399,1.739131159,0.464450403,34.52558541,31.4485219
762C,12X-1 69,265.7,40.70033133,Bartonian,0.682547617,0.279453282,0.83118518,0.033657025,0.373544916,1.86688147,0.051922765,19.29417265,0.017588189,0.615145575,1.695391009,8.759066104,9.780907025,16.66107641,10.82136411,1067.034578,9.937529373,13.26933056,1.541681967,0.114099473,0.614681233,479.6129684,7.874109762,8.523644382,1.399625353,5.73684479,1.086766325,0.242049339,1.218658493,0.174152569,1.149236937,0.252158372,0.743237771,0.110851674,0.656803377,0.0966659,0.396848919,3.603746327,1.592368077,0.162787691,84.61880341,1.730752547,0.273107416,39.20233442,30.5117614
762C,12X-1 99,266,40.71339149,Bartonian,0.944302159,0.363935397,1.110318255,0.047865063,0.451358093,2.184224022,0.066401135,26.36228057,0.016670621,0.898295189,2.755117888,14.60718348,16.46801445,148.7102949,13.45569288,1307.541896,12.52319372,18.29324642,1.894640216,0.205990638,0.736998831,739.2409597,9.737078148,10.7917852,1.823648189,7.311349576,1.385255801,0.317111071,1.640896437,0.230672776,1.46988661,0.329783804,0.979443724,0.138208635,0.805870298,0.119854215,0.540033223,4.769342697,2.13995557,0.206915239,82.56340759,1.781063586,0.240643307,49.6040382,34.08174855
762C,12X-1 141,266.42,40.73167572,Bartonian,0.679737695,0.239946278,0.576104713,0.031152887,0.245216558,1.441493379,0.033493502,14.22428113,0.020304188,0.461356538,1.625138486,8.769143542,14.10304811,150.7859118,7.155875675,1058.096658,9.03850761,9.355762365,0.945035601,0.194186026,0.382544188,579.353914,6.686544434,6.602460313,1.156412877,4.712921867,0.868549781,0.209362335,1.08040358,0.149793688,1.025040226,0.229687745,0.680696573,0.097575827,0.62878549,0.088383064,0.266075504,8.589397827,1.12775161,0.121577331,89.44221756,1.800894974,0.370556067,33.25512541,32.62322445
762C,12X-2 9,266.6,40.73951182,Bartonian,0.621885206,0.248180223,0.568714168,0.035852563,0.226703434,1.295880497,0.030007676,14.02843031,0.019658759,0.453712495,1.577391643,8.794165589,10.14450891,130.9069551,7.182554059,1008.863265,8.205375359,9.182671203,0.968940772,0.121295287,0.388052867,627.3707114,6.026326595,6.222472914,1.020683856,4.127070664,0.751360734,0.179136968,0.938996141,0.133609404,0.945382761,0.209411927,0.639653197,0.090142658,0.551689588,0.078489195,0.285492067,3.436326496,1.123915127,0.117332102,89.96743451,1.799995174,0.345918574,30.11980196,31.94869998
762C,12X-2 39,266.9,40.75257198,Bartonian,0.799782204,0.303689745,0.811682005,0.044232533,0.349657533,1.890169635,0.04830769,21.0458335,0.016356969,0.732978236,2.136090225,11.16807951,11.47807582,79.03108515,10.43823223,1145.271245,10.67515328,13.89180149,1.414931319,0.152719466,0.555534234,734.8336731,8.00434594,8.832316093,1.493174822,6.061607243,1.117209558,0.258270964,1.342222,0.190569191,1.262263245,0.270187471,0.819723922,0.112661373,0.690772826,0.103704803,0.408924978,3.74141275,1.642767345,0.15932761,85.53941766,1.698300766,0.212568342,41.23418274,30.90213654
762C,12X-2 66,267.17,40.76432613,Bartonian,0.642150993,0.246247424,0.669796367,0.033384528,0.323466913,1.671332325,0.043353032,17.44617094,0.016715676,0.587334919,1.481745723,8.738445255,8.486899385,26.16427393,9.631777004,1068.600647,9.049815702,11.76584569,1.224093072,0.131044359,0.497129468,443.6982747,7.18598052,7.593549312,1.28478781,5.273509884,0.967203702,0.226152487,1.098494715,0.159210156,1.074367657,0.229839714,0.690256573,0.098119875,0.623700942,0.091790299,0.33908748,4.772096775,1.370798773,0.140280734,86.0872781,1.824546067,0.234816236,35.64677935,30.83965566
762C,12X-2 100,267.51,40.77912765,Bartonian,0.655140935,0.275314869,0.683699947,0.037776227,0.318759235,1.514555312,0.04155734,19.5028749,0.019213514,0.612695131,2.073730779,10.5203357,16.01806603,22.13926265,9.144767198,1144.828675,9.497296545,12.65279734,1.338306,0.094619704,0.484885074,674.8437407,6.95931454,7.457328558,1.247162809,4.996489069,0.939740546,0.213670492,1.130393605,0.158229232,1.092355491,0.236506932,0.709914985,0.101714829,0.613313424,0.093291463,0.355839544,3.360851043,1.468679617,0.154147763,86.79077207,1.907385041,0.243837236,35.44672252,32.69991923
762C,12X-2 129,267.8,40.79175247,Bartonian,0.725475739,0.262519334,0.668506932,0.031915665,0.337978221,1.47207492,0.042000903,19.09611925,0.01671107,0.624515253,1.671140799,9.576160779,11.68577754,20.26395749,9.452805728,1226.965854,8.955840851,12.51435378,1.250559882,0.087364069,0.511520634,579.9468209,7.010511016,7.474671488,1.246406762,5.164125374,0.986732381,0.2236715,1.113142968,0.164376598,1.123347548,0.23442358,0.706516758,0.098325351,0.624577434,0.090123253,0.360697787,3.365539158,1.463686425,0.141258968,86.08967034,1.847312868,0.122634004,35.21679286,32.38702603
762C,12X-3 9,268.1,40.80481264,Bartonian,0.646772233,0.25724514,0.610863514,0.036403567,0.329965792,1.453982653,0.040164777,17.9338432,0.020488815,0.561914113,1.546117325,8.633761288,11.66533925,20.59221836,9.160688702,1119.787955,9.079561453,11.35527167,1.178332721,0.138157228,0.501111953,571.6535239,6.815565132,7.073202163,1.182202847,4.902500376,0.955770994,0.216104359,1.057602142,0.156484876,1.059942724,0.232296217,0.693157234,0.097415892,0.60335984,0.08838555,0.323742756,3.621470824,1.310609479,0.140325404,86.81721718,1.91298669,0.238519527,34.2135518,33.09108043
